,Brands,Models,Prices,ROM,RAM,Size,Processor,Operating System,Warranty,Ratings
81,ASUS,ASUS VivoBook K15 OLED (2022) ,"₹45,000",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2 Year On-Site Warranty,4.2
82,MSI,MSI GF63 Thin ,"₹59,990",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i5 Processor (10th Gen),64 bit Windows 10 ,1 Year Onsite Warranty,4.3
83,Lenovo,Lenovo IdeaPad Gaming ,"₹53,990",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i5 Processor (11th Gen),64 bit Windows 11 ,2 Year Onsite�Warranty,4.2
84,Lenovo,Lenovo IdeaPad ,"₹37,990",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,1 Year Warranty,4.3
85,Lenovo,Lenovo IdeaPad Flex 5 ,"₹58,990",512 GB SSD,8 GB DDR4,(14 Inch),Intel Core i3 Processor (11th Gen),64 bit Windows 11 ,2 Year On-Site Warranty,4.4
86,MSI,MSI Pulse GL66 ,"₹1,09,990",1 TB SSD,16 GB DDR4,(15.6 Inch),Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,2 Year Onsite�Warranty,4.5
87,Lenovo,Lenovo ,"₹34,490",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i3 Processor (10th Gen),64 bit Windows 11 ,2 Year Onsite Warranty,4.2
88,Lenovo,Lenovo IdeaPad 3 ,"₹55,490",512 GB SSD,8 GB DDR4,(15.6 Inch),Intel Core i5 Processor (12th Gen),64 bit Windows 11 ,1 Year Onsite Warranty,4.2
89,DELL,DELL Inspiron ,"₹33,090",256 GB SSD,8 GB DDR4,(15.6 Inch),Intel Pentium Silver Processor,64 bit Windows 11 ,1 Year Warranty,4.5
90,APPLE,APPLE MacBook Air ,"₹1,04,990",512 GB SSD,8 GB DDR4,(13.3 inch),Apple M1 Processor,Mac OS ,1 Year Onsite Warranty,4.3
91,Lenovo,Lenovo Legion 5 ,"₹1,33,999",512 GB SSD,16 GB DDR4,(15.6 inch),Intel Core i7 Processor (11th Gen),64 bit Windows 10 ,1 Year Limited Warranty,4.1
92,HP,HP ,"₹53,990",512 GB SSD,8 GB DDR4,(15.6 inch),Intel Core i5 Processor (12th Gen),Windows 11 ,1 Year Onsite�Warranty,4.7
